Gliese 49 b,Confirmed,,,,0.0905,2019,Published in a refereed paper,Radial Velocity,,,Gliese 49,9.856,0.515,0.511,Отсутствует значение углового расстояния
WISE 1217+16 A b,Confirmed,22,0.960000,,7.6,2012,Published in a refereed paper,Imaging,"WISEPC J121756.91+162640.2B, WISE J1217+1626B","CH4, H2, H2O",WISE 1217+16 A,10,0.03,0.091,Отсутствует значение углового расстояния
GJ 536 b,Confirmed,,,,0.06661,2016,Published in a refereed paper,Radial Velocity,,,GJ 536,10.03,0.52,0.5,Отсутствует значение углового расстояния
CWISEP J1935-1546,Confirmed,11,,,,2019,Published in a refereed paper,Imaging,,,,10.1,,,Отсутствуют оба значения
GJ 436 b,Confirmed,0.07,0.380000,0.00283,0.02887,2004,Published in a refereed paper,Primary Transit,,"CH4, CO, CO2, H, H2O, Si",GJ 436,10.2,0.452,0.464,33.27
GJ 1265 b,Confirmed,,,,0.026,2018,Published in a refereed paper,Radial Velocity,LP 819-052,,GJ 1265,10.255,0.178,0.192,Отсутствует значение углового расстояния
ULAS1335,Confirmed,12.5,,,,2009,Published in a refereed paper,Imaging,ULAS J133553.45+113005.2,,,10.3,,,Отсутствуют оба значения
GJ 649 b,Confirmed,,,0.109768,1.135,2009,Published in a refereed paper,Radial Velocity,,,GJ 649,10.34,0.54,,33.72
GJ 649 c,Confirmed,,,,0.043,2013,Published in a refereed paper,Radial Velocity,,,GJ 649,10.34,0.54,,Отсутствует значение углового расстояния
HD 62509 b,Confirmed,,,0.163443,1.69,2006,Published in a refereed paper,Radial Velocity,,,HD 62509,10.34,1.47,9.3,33.72
2MASS J10475385+2124234,Confirmed,42,,,,1999,Published in a refereed paper,Imaging,2MASS J1047+21,,,10.56,,,Отсутствуют оба значения
L 98-59 b,Confirmed,,0.064200,,0.0227,2018,Announced on a website,Primary Transit,TOI-175 b,,L 98-59,10.623,0.32,0.291,Отсутствует значение углового расстояния
L 98-59 c,Confirmed,,0.115100,,0.0315,2018,Announced on a website,Primary Transit,TOI-175 c,,L 98-59,10.623,0.32,0.291,Отсутствует значение углового расстояния
L 98-59 d,Confirmed,,0.122200,,0.05,2018,Announced on a website,Primary Transit,TOI-175 d,,L 98-59,10.623,0.32,0.291,Отсутствует значение углового расстояния
HD 147379 b,Confirmed,,,,0.3193,2018,Published in a refereed paper,Radial Velocity,"Gl617A b, GJ 617A b",,HD 147379,10.735,0.58,0.57,Отсутствует значение углового расстояния
GJ 86 b,Confirmed,,,0.010092,0.11,2000,Published in a refereed paper,Radial Velocity,,,GJ 86,10.9,0.8,0.855,35.55
HD 3651 b,Confirmed,0.23,,0.025818,0.295,2003,Published in a refereed paper,Radial Velocity,"54 Psc b, 54 Piscium A b",,HD 3651,11,0.79,0.947,37.27
HD 3651B,Confirmed,53,0.800000,,476,2006,Published in a refereed paper,Imaging,"0039+2115, 54 PscB, GL 27B",,HD 3651,11,0.79,0.947,Отсутствует значение углового расстояния
HIP 57050 b,Confirmed,,,0.014864,0.166,2010,Published in a refereed paper,Radial Velocity,GJ 1148 b,,HIP 57050,11.02,0.354,0.353,36.42
HIP 57050 c,Confirmed,,,,0.91,2017,Published in a refereed paper,Radial Velocity,GJ 1148 c,,HIP 57050,11.02,0.354,0.353,Отсутствует значение углового расстояния
HIP 65426 b,Confirmed,9,1.500000,,92,2017,Published in a refereed paper,Imaging,,,HIP 65426,11.1,1.96,1.77,Отсутствует значение углового расстояния
HD 85512 b,Confirmed,,,0.023318,0.26,2011,Published in a refereed paper,Radial Velocity,,,HD 85512,11.15,0.69,,36.37
WISE 1828+2650,Confirmed,10.25,,,,2011,Published in a refereed paper,Imaging,WISEP J1828+2650,,,11.2,,,Отсутствуют оба значения
Ross 458 (AB) c,Confirmed,11.3,1.070000,10.245614,1168,2010,Published in a refereed paper,Imaging,"Ross 458C, WISEPC J130041.65+122114.6 , HIP 63510C","CH4, H2, H2O, K",Ross 458 (AB),11.7,0.6,,371.82
GJ 1132 b,Confirmed,0.00522,0.103500,,0.0154,2015,Published in a refereed paper,Primary Transit,,"CO2, H2, N2, O2",GJ 1132,12.04,0.181,0.207,Отсутствует значение углового расстояния
GJ 1132 c,Confirmed,,,,0.0476,2018,Published in a refereed paper,Radial Velocity,,,GJ 1132,12.04,0.181,0.207,Отсутствует значение углового расстояния
TRAPPIST-1 b,Confirmed,0.0027,0.096890,,0.01111,2016,Published in a refereed paper,Primary Transit,,H2O,TRAPPIST-1,12.1,0.08,0.117,Отсутствует значение углового расстояния
TRAPPIST-1 c,Confirmed,0.00434,0.094210,,0.01521,2016,Published in a refereed paper,Primary Transit,,H2O,TRAPPIST-1,12.1,0.08,0.117,Отсутствует значение углового расстояния
TRAPPIST-1 d,Confirmed,0.0013,0.068900,,0.02144,2016,Published in a refereed paper,Primary Transit,,H2O,TRAPPIST-1,12.1,0.08,0.117,Отсутствует значение углового расстояния
TRAPPIST-1 e,Confirmed,0.002,0.081900,,0.02817,2017,Published in a refereed paper,Primary Transit,2MASS J23062928-0502285 e,H2O,TRAPPIST-1,12.1,0.08,0.117,Отсутствует значение углового расстояния
