Название,Статус ,Масса,Радиус,Угловая скорость (angular_distance),Большая полуось (semi_major_axis),Открытие,Опубликованность,Тип обнаружения,Альтернативное имя,Обнаруженные молекулы,Звезда-хост,Расстояние до звезды-хоста,Масса звезды,Радиус звезды
EPIC 249622103 b,Confirmed,,0.12472,,0.03317,2018,Published in a refereed paper,Primary Transit,,,EPIC 249622103,69,0.8,0.745
EPIC 249622103 c,Confirmed,,0.1191,,0.06687,2018,Published in a refereed paper,Primary Transit,,,EPIC 249622103,69,0.8,0.745
EPIC 249622103 d,Confirmed,,0.2355,,0.1527,2018,Published in a refereed paper,Primary Transit,,,EPIC 249622103,69,0.8,0.745
EPIC 249801827 b,Confirmed,0.0157,0.178,,0.0513,2018,Published in a refereed paper,Primary Transit,K2-240 b,,EPIC 249801827,70,0.58,0.54
EPIC 249801827 c,Confirmed,0.0145,0.161,,0.1159,2018,Published in a refereed paper,Primary Transit,K2-240 c,,EPIC 249801827,70,0.58,0.54
EPIC 249889081 b,Confirmed,0.0214,0.187,,0.1768,2018,Published in a refereed paper,Primary Transit,,,EPIC 249889081,76.3,0.64,0.62
EPIC 249893012 b,Confirmed,0.02753,0.174,,0.047,2020,Published in a refereed paper,Primary Transit,,,EPIC 249893012,324.7,1.05,1.71
EPIC 249893012 c,Confirmed,0.04616,0.3274,,0.13,2020,Published in a refereed paper,Primary Transit,,,EPIC 249893012,324.7,1.05,1.71
EPIC 249893012 d,Confirmed,0.03203,0.3515,,0.22,2020,Published in a refereed paper,Primary Transit,,,EPIC 249893012,324.7,1.05,1.71
FL Lyr b,Confirmed,,,,,2015,Published in a refereed paper,Timing,,,FL Lyr,138,2.2,
FU Tau b,Confirmed,15,,5.714286,800,2009,Published in a refereed paper,Imaging,,,FU Tau,140,0.05,
Fomalhaut b,Confirmed,3,,14.92731,115,2008,Published in a refereed paper,Imaging,,,Fomalhaut,7.704,1.92,1.842
G 196-3 b,Confirmed,15,,,,1998,Published in a refereed paper,Imaging,2MASS J10042148+5023135 b,,G 196-3,21.805,0.4,
G 9-40 b,Confirmed,0.016,0.18066,,0.0385,2019,Published in a refereed paper,Primary Transit,,,G 9-40,27.928,0.29,0.3073
G204-39 b,Confirmed,29,,,2685,2010,Published in a refereed paper,Imaging,"SDSS J175805.46+463311.9, 2MASS J17580545+4633099",,G204-39,13.9908,0.36,
GJ 1061 b,Confirmed,,,,0.021,2019,Published in a refereed paper,Radial Velocity,L 372-58 b,,GJ 1061,3.6732,0.12,0.156
GJ 1061 c,Confirmed,,,,0.035,2019,Published in a refereed paper,Radial Velocity,L 372-58 c,,GJ 1061,3.6732,0.12,0.156
GJ 1061 d,Confirmed,,,,0.052,2019,Published in a refereed paper,Radial Velocity,L 372-58 d,,GJ 1061,3.6732,0.12,0.156
GJ 1132 b,Confirmed,0.00522,0.1035,,0.0154,2015,Published in a refereed paper,Primary Transit,,"CO2, H2, N2, O2",GJ 1132,12.04,0.181,0.207
GJ 1132 c,Confirmed,,,,0.0476,2018,Published in a refereed paper,Radial Velocity,,,GJ 1132,12.04,0.181,0.207
GJ 1214 b,Confirmed,0.020325331,0.23820187,0.001077,0.01411,2009,Published in a refereed paper,Primary Transit,,He,GJ 1214,13,0.15,0.216
GJ 1252 b,Confirmed,0.00658,0.10643,,0.00916,2018,Published in a refereed paper,Primary Transit,,,GJ 1252,20.38,0.381,0.391
GJ 1265 b,Confirmed,,,,0.026,2018,Published in a refereed paper,Radial Velocity,LP 819-052,,GJ 1265,10.255,0.178,0.192
GJ 143 b,Confirmed,0.0714,0.2329,,0.1932,2018,Published in a refereed paper,Primary Transit,HD 21749 b,,GJ 143,16.33,0.76,0.73
GJ 143 c,Confirmed,0.01164,0.07958,,0.0695,2018,Published in a refereed paper,Primary Transit,"HD 21749 c, TOI  186.02",,GJ 143,16.33,0.76,0.73
GJ 15A b,Confirmed,,,,0.072,2014,Published in a refereed paper,Radial Velocity,HD 1326A b,,GJ 15A,3.587,0.375,0.3863
GJ 160.2 b,Confirmed,,,,0.079,2014,Published in a refereed paper,Radial Velocity,,,GJ 160.2,,0.69,
GJ 163 b,Confirmed,,,,0.06,2012,Published in a refereed paper,Radial Velocity,,,GJ 163,15,0.4,
GJ 163 c,Confirmed,,,,0.124,2012,Published in a refereed paper,Radial Velocity,,,GJ 163,15,0.4,
GJ 163 d,Confirmed,,,,1.021,2013,Published in a refereed paper,Radial Velocity,,,GJ 163,15,0.4,
GJ 163 e,Confirmed,,,,0.7,2019,Published in a refereed paper,Radial Velocity,,,GJ 163,15,0.4,
GJ 163 f,Confirmed,,,,0.326,2019,Published in a refereed paper,Radial Velocity,,,GJ 163,15,0.4,
GJ 176 b,Confirmed,,,0.007006,0.066,2007,Submitted to a professional journal,Radial Velocity,,,GJ 176,9.42,0.49,0.53
GJ 176 c,Confirmed,,,0.019108,0.146,2009,Published in a refereed paper,Radial Velocity,,,GJ 176,9.42,0.49,0.53
GJ 179 b,Confirmed,,,0.195935,2.41,2010,Published in a refereed paper,Radial Velocity,,,GJ 179,12.3,0.357,0.38
GJ 179 c,Confirmed,,,,0.032,2019,Published in a refereed paper,Radial Velocity,,,GJ 179,12.3,0.357,0.38
GJ 180 b,Confirmed,,,,0.092,2014,Published in a refereed paper,Radial Velocity,,,GJ 180,,0.43,
GJ 180 c,Confirmed,,,,0.129,2014,Published in a refereed paper,Radial Velocity,,,GJ 180,,0.43,
GJ 180 d,Confirmed,,,,0.31,2020,Published in a refereed paper,Radial Velocity,,,GJ 180,,0.43,
GJ 221 e,Confirmed,,,,0.03,2019,Published in a refereed paper,Radial Velocity,BD-06 1339 e,,BD-06 1339,20,0.7,
GJ 229 A b,Confirmed,,,,0.896,2014,Published in a refereed paper,Radial Velocity,,CH4,GJ 229,5.757,0.58,
GJ 229 A c,Confirmed,,,,0.339,2020,Published in a refereed paper,Radial Velocity,,,GJ 229,5.757,0.58,
GJ 229 B,Confirmed,35,,,19.433,1995,Published in a refereed paper,Imaging,Gliese 229 B,,GJ 229,5.757,0.58,
GJ 27.1 b,Confirmed,,,,0.101,2014,Published in a refereed paper,Radial Velocity,,,GJ 27.1,,0.53,
GJ 273 b,Confirmed,,,,0.09,2017,Published in a refereed paper,Radial Velocity,Luyten b,,GJ 273,3.8,0.29,0.293
GJ 273 c,Confirmed,,,,0.036,2017,Published in a refereed paper,Radial Velocity,Luyten c,,GJ 273,3.8,0.29,0.293
GJ 273 d,Confirmed,,,,0.712,2019,Published in a refereed paper,Radial Velocity,Luyten d,,GJ 273,3.8,0.29,0.293
GJ 273 e,Confirmed,,,,0.849,2019,Published in a refereed paper,Radial Velocity,Luyten e,,GJ 273,3.8,0.29,0.293
GJ 3021 b,Confirmed,,,0.027809,0.49,2000,Published in a refereed paper,Radial Velocity,"SAO 258219 b, HD 1237 b 	, HIP 1292 b, TYC 9354-00780-1 b, 2MASS J00161266-7951042 b",,GJ 3021,17.62,0.9,0.9
GJ 3082 b,Confirmed,,,,0.079,2020,Published in a refereed paper,Radial Velocity,,,GJ 3082,16.63,0.47,
GJ 3138 b,Confirmed,,,,0.057,2017,Published in a refereed paper,Radial Velocity,,,GJ 3138,,0.681,0.5
GJ 3138 c,Confirmed,,,,0.0197,2017,Published in a refereed paper,Radial Velocity,,,GJ 3138,,0.681,0.5
GJ 3138 d,Confirmed,,,,0.698,2017,Published in a refereed paper,Radial Velocity,,,GJ 3138,,0.681,0.5
GJ 317 b,Confirmed,2.3298,,0.076159,1.11,2007,Published in a refereed paper,Radial Velocity,,,GJ 317,15.1,0.42,
GJ 317 c,Confirmed,,,1.986755,0.763,2007,Published in a refereed paper,Radial Velocity,,,GJ 317,15.1,0.42,
GJ 328 b,Confirmed,,,,4.5,2013,Published in a refereed paper,Radial Velocity,,,GJ 328,19.8,0.69,
GJ 3293 b,Confirmed,,,,0.14339,2014,Published in a refereed paper,Radial Velocity,,,GJ 3293,17.9,0.42,0.404
GJ 3293 c,Confirmed,,,,0.36175,2014,Published in a refereed paper,Radial Velocity,,,GJ 3293,17.9,0.42,0.404
GJ 3293 d,Confirmed,,,,0.194,2014,Published in a refereed paper,Radial Velocity,,,GJ 3293,17.9,0.42,0.404
GJ 3293 e,Confirmed,,,,0.0821,2017,Published in a refereed paper,Radial Velocity,,,GJ 3293,17.9,0.42,0.404
GJ 3323 b,Confirmed,,,,0.03282,2017,Published in a refereed paper,Radial Velocity,,,GJ 3323,,0.164,0.119
GJ 3323 c,Confirmed,,,,0.1264,2017,Published in a refereed paper,Radial Velocity,,,GJ 3323,,0.164,0.119
GJ 3341 b,Confirmed,,,,0.089,2014,Published in a refereed paper,Radial Velocity,,,GJ 3341,23.1,0.47,0.349
GJ 3470 b,Confirmed,0.03958,0.373807429,,0.03557,2012,Published in a refereed paper,Primary Transit,,"CO, H, H2O",GJ 3470,30.7,0.51,0.48
GJ 3512 b,Confirmed,,,,0.338,2019,Published in a refereed paper,Radial Velocity,,,GJ 3512,9.489,0.123,0.139
GJ 357 b,Confirmed,0.006566,0.10411,,0.033,2019,Published in a refereed paper,Primary Transit,TOI-562.01,,GJ 357,9.444,0.342,0.337
GJ 357 c,Confirmed,,,,0.0607,2019,Published in a refereed paper,Radial Velocity,,,GJ 357,9.444,0.342,0.337
GJ 357 d,Confirmed,,,,0.204,2019,Published in a refereed paper,Radial Velocity,,,GJ 357,9.444,0.342,0.337
GJ 3634 b,Confirmed,0.026,,0.001449,0.0287,2011,Published in a refereed paper,Radial Velocity,,,GJ 3634,19.8,0.45,0.43
GJ 3779 b,Confirmed,,,,0.026,2018,Published in a refereed paper,Radial Velocity,Ross 1020,,GJ 3779,13.748,0.27,0.281
GJ 3942 b,Confirmed,,,,0.0608,2017,Published in a refereed paper,Radial Velocity,,,GJ 3942,16.93,0.63,0.61
GJ 3998 b,Confirmed,,,,0.029,2016,Published in a refereed paper,Radial Velocity,,,GJ 3998,17.8,0.5,0.49
GJ 3998 c,Confirmed,,,,0.089,2016,Published in a refereed paper,Radial Velocity,,,GJ 3998,17.8,0.5,0.49
GJ 422 b,Confirmed,,,,0.111,2014,Published in a refereed paper,Radial Velocity,,,GJ 422,12.67,0.35,
GJ 4276 b,Confirmed,,,,0.082,2018,Published in a refereed paper,Radial Velocity,,,GJ 4276,21.35,0.406,0.407
GJ 4276 c,Confirmed,,,,0.052,2018,Published in a refereed paper,Radial Velocity,,,GJ 4276,21.35,0.406,0.407
GJ 433 b,Confirmed,,,0.006416,0.062,2009,Published in a refereed paper,Radial Velocity,,,GJ 433,9.04,0.48,
GJ 433 c,Confirmed,,,0.39823,4.692,2012,Published in a refereed paper,Radial Velocity,,,GJ 433,9.04,0.48,
GJ 433 d,Confirmed,,,,0.178,2020,Published in a refereed paper,Radial Velocity,,,GJ 433,9.04,0.48,
GJ 436 b,Confirmed,0.07,0.38,0.00283,0.02887,2004,Published in a refereed paper,Primary Transit,,"CH4, CO, CO2, H, H2O, Si",GJ 436,10.2,0.452,0.464
GJ 504 b,Confirmed,4,0.96,,43.5,2013,Published in a refereed paper,Imaging,59 Vir b,CH4,GJ 504,17.56,1.22,
GJ 536 b,Confirmed,,,,0.06661,2016,Published in a refereed paper,Radial Velocity,,,GJ 536,10.03,0.52,0.5
GJ 570 D,Confirmed,42.5,0.855,,1500,2000,Published in a refereed paper,Imaging,HR 5568 D,NH3,GJ 570 ABC,5.91,0.802,
GJ 581 b,Confirmed,,,0.006602,0.041,2005,Published in a refereed paper,Radial Velocity,,,GJ 581,6.21,0.31,0.3
GJ 581 c,Confirmed,,,0.011755,0.074,2007,Published in a refereed paper,Radial Velocity,,,GJ 581,6.21,0.31,0.3
GJ 581 e,Confirmed,,,0.004509,0.029,2009,Published in a refereed paper,Radial Velocity,,,GJ 581,6.21,0.31,0.3
GJ 625 b,Confirmed,,,,0.078399,2017,Published in a refereed paper,Radial Velocity,,,GJ 625,6.49,0.3,0.31
GJ 649 b,Confirmed,,,0.109768,1.135,2009,Published in a refereed paper,Radial Velocity,,,GJ 649,10.34,0.54,
GJ 649 c,Confirmed,,,,0.043,2013,Published in a refereed paper,Radial Velocity,,,GJ 649,10.34,0.54,
GJ 667 C b,Confirmed,,,0.007368,0.0505,2009,Published in a refereed paper,Radial Velocity,,,GJ 667 C,6.84,0.33,
GJ 667 C c,Confirmed,,,0.018289,0.125,2011,Published in a refereed paper,Radial Velocity,,,GJ 667 C,6.84,0.33,
GJ 667 C d,Confirmed,,,0.044371,0.276,2012,Published in a refereed paper,Radial Velocity,,,GJ 667 C,6.84,0.33,
GJ 667 C e,Confirmed,,,,0.213,2013,Published in a refereed paper,Radial Velocity,,,GJ 667 C,6.84,0.33,
GJ 667 C f,Confirmed,,,,0.156,2013,Published in a refereed paper,Radial Velocity,,,GJ 667 C,6.84,0.33,
GJ 667 C g,Confirmed,,,,0.549,2013,Published in a refereed paper,Radial Velocity,,,GJ 667 C,6.84,0.33,
GJ 674 b,Confirmed,,1.13,0.00859,0.039,2007,Published in a refereed paper,Radial Velocity,,,GJ 674,4.54,0.35,
GJ 676 A b,Confirmed,6.7,,0.109422,1.812,2009,Submitted to a professional journal,Radial Velocity,,,GJ 676 A,16.45,0.71,
GJ 676 A c,Confirmed,6.8,,,6.6,2012,Published in a refereed paper,Radial Velocity,,,GJ 676 A,16.45,0.71,
GJ 676 A d,Confirmed,,,,0.0413,2012,Published in a refereed paper,Radial Velocity,,,GJ 676 A,16.45,0.71,
GJ 676 A e,Confirmed,,,,0.187,2012,Published in a refereed paper,Radial Velocity,,,GJ 676 A,16.45,0.71,
GJ 682 b,Confirmed,,,,0.08,2014,Published in a refereed paper,Radial Velocity,,,GJ 682,,0.27,
GJ 682 c,Confirmed,,,,0.176,2014,Published in a refereed paper,Radial Velocity,,,GJ 682,,0.27,
GJ 685 b,Confirmed,,,,0.1344,2019,Published in a refereed paper,Radial Velocity,,,GJ 685,14.42,0.55,0.54
GJ 687 b,Confirmed,,,,0.16353,2014,Published in a refereed paper,Radial Velocity,,,GJ 687,4.5,0.413,0.4183
GJ 752 A b,Confirmed,,,,0.3357,2018,Published in a refereed paper,Radial Velocity,HD 180617 b,,GJ 752 A,5.9116,0.45,0.453
GJ 758 b,Confirmed,37.9,,3.516129,33,2009,Published in a refereed paper,Imaging,,CH4,GJ 758,15.5,0.97,0.88
GJ 785 b,Confirmed,,,0.035911,0.32,2010,Published in a refereed paper,Radial Velocity,HD 192310 b,,GJ 785,8.911,0.78,0.68
GJ 785 c,Confirmed,,,0.133787,1.18,2011,Published in a refereed paper,Radial Velocity,HD 192310 c,,GJ 785,8.911,0.78,0.68
GJ 832 b,Confirmed,,,0.688259,3.6,2008,Submitted to a professional journal,Radial Velocity,,,GJ 832,4.94,0.45,
GJ 832 c,Confirmed,,,,0.162,2014,Published in a refereed paper,Radial Velocity,,,GJ 832,4.94,0.45,
GJ 849 b,Confirmed,,,0.267045,2.35,2006,Published in a refereed paper,Radial Velocity,,,GJ 849,9.1,0.49,0.52
GJ 849 c,Confirmed,,,,,2013,Published in a refereed paper,Radial Velocity,,,GJ 849,9.1,0.49,0.52
GJ 86 b,Confirmed,,,0.010092,0.11,2000,Published in a refereed paper,Radial Velocity,,,GJ 86,10.9,0.8,0.855
GJ 876 b,Confirmed,1.938,,0.044323,0.208317,2000,Published in a refereed paper,Radial Velocity,,,GJ 876,4.7,0.334,0.36
GJ 876 c,Confirmed,0.856,,0.027572,0.12959,2000,Published in a refereed paper,Radial Velocity,,,GJ 876,4.7,0.334,0.36
GJ 876 d,Confirmed,0.022,,0.004427,0.02080665,2005,Published in a refereed paper,Radial Velocity,,,GJ 876,4.7,0.334,0.36
GJ 876 e,Confirmed,0.045,,0.071128,0.3343,2010,Published in a refereed paper,Radial Velocity,,,GJ 876,4.7,0.334,0.36
GJ 96 b,Confirmed,,,,0.291,2018,Published in a refereed paper,Radial Velocity,GL96 b,,GJ 96,,0.6,
GJ 9827 b,Confirmed,0.0258,0.146,,0.0211,2017,Published in a refereed paper,Primary Transit,,,GJ 9827,30.3,0.659,0.651
GJ 9827 c,Confirmed,0.0079,0.115,,0.044,2017,Published in a refereed paper,Primary Transit,,,GJ 9827,30.3,0.659,0.651
GJ 9827 d,Confirmed,0.012,0.186,,0.0627,2017,Published in a refereed paper,Primary Transit,,,GJ 9827,30.3,0.659,0.651
GP Com b,Confirmed,26.2,,,,2016,Published in a refereed paper,Radial Velocity,,,GP Com,,0.33,
GQ Lup b,Confirmed,21.5,1.8,0.735714,103,2005,Published in a refereed paper,Imaging,,,GQ Lup,140,0.7,
GSC 08047-00232 b,Confirmed,25,,,,2003,Published in a refereed paper,Imaging,2MASS J01521461-5219332 b,,GSC 08047-00232,86.2977,0.8,
GSC 6214-210 b,Confirmed,17,,2.206897,320,2010,Published in a refereed paper,Imaging,,,GSC 6214-210,145,0.6,
GU Psc b,Confirmed,11,1.35,,2000,2014,Published in a refereed paper,Imaging,,CH4,GU Psc,48,0.35,
Gl 378 b,Confirmed,,,,0.039435,2019,Published in a refereed paper,Radial Velocity,,,Gl 378,14.96,0.56,0.56
Gl 686 b,Confirmed,,,,0.0912,2019,Published in a refereed paper,Radial Velocity,"GJ 686 b, BD+18 3421 b",,Gl 686,8.1593,0.42,0.42
Gliese 49 b,Confirmed,,,,0.0905,2019,Published in a refereed paper,Radial Velocity,,,Gliese 49,9.856,0.515,0.511
HAT-P-1 b,Confirmed,0.525,1.319,0.000398,0.05561,2006,Published in a refereed paper,Primary Transit,,"C, H2O, K, O I",HAT-P-1,139,1.151,1.174
HAT-P-10 A b,Confirmed,0.46,1.045,0.000351,0.0439,2008,Submitted to a professional journal,Primary Transit,"HAT-P-10 b, WASP-11 b",,HAT-P-10 A,125,0.82,0.81
HAT-P-11 b,Confirmed,0.0736,0.389,0.001395,0.053,2009,Submitted to a professional journal,Primary Transit,,He,HAT-P-11,37.89,0.809,0.683
HAT-P-11 c,Confirmed,,,,4.13,2018,Published in a refereed paper,Radial Velocity,,,HAT-P-11,37.89,0.809,0.683
HAT-P-12 b,Confirmed,0.210489885,0.954591765,0.000269,0.0384,2009,Submitted to a professional journal,Primary Transit,,Na,HAT-P-12,142.5,0.73,0.7
HAT-P-13 b,Confirmed,0.85,1.28,0.000199,0.0426,2009,Published in a refereed paper,Primary Transit,,,HAT-P-13,214,1.22,1.56
HAT-P-13 c,Confirmed,,,0.005542,1.186,2009,Published in a refereed paper,Radial Velocity,,,HAT-P-13,214,1.22,1.56
HAT-P-14 b,Confirmed,2.2,1.2,0.00029,0.0594,2010,Published in a refereed paper,Primary Transit,WASP-27 b,,HAT-P-14,205,1.386,1.468
HAT-P-15 b,Confirmed,1.946,1.072,0.000507,0.0964,2010,Published in a refereed paper,Primary Transit,,,HAT-P-15,190,1.013,1.08
HAT-P-16 b,Confirmed,4.193,1.289,0.000176,0.0413,2010,Published in a refereed paper,Primary Transit,,,HAT-P-16,235,1.218,1.237
HAT-P-17 b,Confirmed,0.534,1.01,0.00098,0.0882,2010,Published in a refereed paper,Primary Transit,,,HAT-P-17,90,0.857,0.837
HAT-P-17 c,Confirmed,,,0.030556,2.75,2010,Published in a refereed paper,Radial Velocity,,,HAT-P-17,90,0.857,0.837
HAT-P-18 b,Confirmed,0.183,0.947,0.000337,0.0559,2010,Published in a refereed paper,Primary Transit,HAT-18b,,HAT-P-18,166,0.77,0.717
HAT-P-19 b,Confirmed,0.292,1.132,0.000217,0.0466,2010,Published in a refereed paper,Primary Transit,,,HAT-P-19,215,0.842,0.82
HAT-P-2 b,Confirmed,8.74,0.951,0.000571,0.0674,2007,Published in a refereed paper,Primary Transit,,,HAT-P-2,118,1.34,1.54
HAT-P-20 b,Confirmed,7.246,0.867,0.000516,0.0361,2010,Published in a refereed paper,Primary Transit,,,HAT-P-20,70,0.756,0.694
HAT-P-21 b,Confirmed,4.063,1.024,0.000194,0.0494,2010,Published in a refereed paper,Primary Transit,,,HAT-P-21,254,0.947,1.105
HAT-P-22 b,Confirmed,2.147,1.08,0.000505,0.0414,2010,Published in a refereed paper,Primary Transit,,,HAT-P-22,82,0.916,1.04
HAT-P-23 b,Confirmed,2.09,1.368,5.90E-05,0.0232,2010,Published in a refereed paper,Primary Transit,,,HAT-P-23,393,1.13,1.29
HAT-P-24 b,Confirmed,0.685,1.242,0.000152,0.0465,2010,Published in a refereed paper,Primary Transit,,,HAT-P-24,306,1.191,1.317
HAT-P-25 b,Confirmed,0.567,1.19,0.000157,0.0466,2010,Published in a refereed paper,Primary Transit,,,HAT-P-25,297,1.01,0.959
HAT-P-26 b,Confirmed,0.0585,0.5647,0.000357,0.0479,2010,Submitted to a professional journal,Primary Transit,,"CH4, CO, CO2, CrH, H2O, ScH, TiH",HAT-P-26,134,0.816,0.788
HAT-P-27 b,Confirmed,0.66,1.055,0.000198,0.0403,2011,Published in a refereed paper,Primary Transit,WASP-40 b,,HAT-P-27,204,0.945,0.898
HAT-P-28 b,Confirmed,0.626,1.212,0.00011,0.0434,2011,Published in a refereed paper,Primary Transit,,,HAT-P-28,395,1.025,1.103
HAT-P-29 b,Confirmed,0.778,1.107,0.000207,0.0667,2011,Published in a refereed paper,Primary Transit,,,HAT-P-29,322,1.207,1.224
HAT-P-3 b,Confirmed,0.591,0.827,0.000297,0.03866,2007,Published in a refereed paper,Primary Transit,,,HAT-P-3,130,0.917,0.799
HAT-P-30 b,Confirmed,0.711,1.34,0.000217,0.0419,2011,Published in a refereed paper,Primary Transit,WASP-51 b,,HAT-P-30,193,1.18,1.33
HAT-P-31 b,Confirmed,2.171,1.07,0.000155,0.055,2011,Published in a refereed paper,Primary Transit,,,HAT-P-31,354,1.218,1.36
HAT-P-32 b,Confirmed,0.86,1.789,0.000108,0.0343,2011,Published in a refereed paper,Primary Transit,,,HAT-P-32,320,1.176,1.387
HAT-P-33 b,Confirmed,0.763,1.827,0.00012,0.0503,2011,Published in a refereed paper,Primary Transit,,,HAT-P-33,419,1.403,1.777
HAT-P-34 b,Confirmed,3.328,1.107,0.000263,0.0677,2012,Published in a refereed paper,Primary Transit,,,HAT-P-34,257,1.36,1.45
HAT-P-35 b,Confirmed,1.054,1.332,9.30E-05,0.0498,2012,Published in a refereed paper,Primary Transit,,,HAT-P-35,535,1.236,1.435
HAT-P-36 b,Confirmed,1.832,1.264,7.50E-05,0.0238,2012,Published in a refereed paper,Primary Transit,,,HAT-P-36,317,1.022,1.096
HAT-P-37 b,Confirmed,1.169,1.178,9.20E-05,0.0379,2012,Published in a refereed paper,Primary Transit,,,HAT-P-37,411,0.929,0.877
HAT-P-38 b,Confirmed,0.267,0.825,0.00021,0.0523,2012,Published in a refereed paper,Primary Transit,,,HAT-P-38,249,0.886,0.923
HAT-P-39 b,Confirmed,0.599,1.571,,0.0509,2012,Published in a refereed paper,Primary Transit,,,HAT-P-39,642,1.404,1.625
HAT-P-4 b,Confirmed,0.68,1.27,0.000144,0.0446,2007,Published in a refereed paper,Primary Transit,,,HAT-P-4,310,1.26,1.59
HAT-P-40 b,Confirmed,0.615,1.73,,0.0608,2012,Published in a refereed paper,Primary Transit,,,HAT-P-40,501,1.512,2.206
HAT-P-41 b,Confirmed,0.8,1.685,,0.0426,2012,Published in a refereed paper,Primary Transit,,,HAT-P-41,344,1.28,1.19
HAT-P-42 b,Confirmed,0.975,1.277,,0.0575,2012,Submitted to a professional journal,Primary Transit,,,HAT-P-42,447,1.179,1.528
HAT-P-43 b,Confirmed,0.66,1.283,,0.0443,2012,Submitted to a professional journal,Primary Transit,,,HAT-P-43,543,1.048,1.104
HAT-P-44 b,Confirmed,0.392,1.28,,0.0507,2013,Published in a refereed paper,Primary Transit,,,HAT-P-44,374,0.939,0.979
HAT-P-44 c,Confirmed,1.6,,,0.699,2013,Published in a refereed paper,Primary Transit,,,HAT-P-44,374,0.939,0.979
HAT-P-45 b,Confirmed,0.892,1.426,,0.0452,2013,Published in a refereed paper,Primary Transit,,,HAT-P-45,305,1.259,1.319
HAT-P-46 b,Confirmed,0.493,1.284,,0.0577,2013,Published in a refereed paper,Primary Transit,,,HAT-P-46,296,1.284,1.396
HAT-P-46 c,Confirmed,2,,,0.387,2013,Published in a refereed paper,Primary Transit,,,HAT-P-46,296,1.284,1.396
HAT-P-47 b,Confirmed,0.206,1.313,,0.0615,2016,Published in a refereed paper,Primary Transit,,,HAT-P-47,268,1.387,1.515
HAT-P-48 b,Confirmed,0.168,1.131,,0.0543,2016,Published in a refereed paper,Primary Transit,,,HAT-P-48,305,1.099,1.223
HAT-P-49 b,Confirmed,1.73,1.413,,0.0438,2014,Published in a refereed paper,Primary Transit,,,HAT-P-49,322,1.543,1.833
HAT-P-5 b,Confirmed,1.06,1.252,0.00012,0.04079,2007,Published in a refereed paper,Primary Transit,,,HAT-P-5,340,1.163,1.137
HAT-P-50 b,Confirmed,1.36,1.288,,0.0453,2015,Published in a refereed paper,Primary Transit,,,HAT-P-50,597,1.273,1.698
HAT-P-51 b,Confirmed,0.309,1.293,,0.05069,2015,Published in a refereed paper,Primary Transit,,,HAT-P-51,470,0.976,1.041
HAT-P-52 b,Confirmed,0.819,1.009,,0.03694,2015,Published in a refereed paper,Primary Transit,,,HAT-P-52,385,0.887,0.893
HAT-P-53 b,Confirmed,1.487,1.318,,0.03159,2015,Published in a refereed paper,Primary Transit,,,HAT-P-53,719,1.093,1.209
HAT-P-54 b,Confirmed,0.76,0.944,,0.04117,2014,Published in a refereed paper,Primary Transit,,,HAT-P-54,135.8,0.645,0.617
HAT-P-55 b,Confirmed,0.582,1.182,,0.04604,2015,Published in a refereed paper,Primary Transit,,,HAT-P-55,480,1.013,1.011
HAT-P-56 b,Confirmed,2.2,1.466,,0.0423,2015,Published in a refereed paper,Primary Transit,,,HAT-P-56,310.5,1.296,1.428
