55 Cnc d,Confirmed,,,4867,5.446,0.0269,,0.466775,2002,6/11/2017,254,2453490,,,,,,45.2,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,1.015,0.98,K0IV-V,10.2,5196,,,
55 Cnc e,Confirmed,0.02703,0.1737,0.7365478,0.015439,0.028,90.36,0.001264,2004,3/12/2020,170,2449999.836,,,,72.4,,6.12,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"H2O, HCN, N",55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,1.015,0.98,K0IV-V,10.2,5196,,,
55 Cnc f,Confirmed,,,260.91,0.7733,0.08,,0.06329,2007,6/11/2017,139,2451878,,,,,,4.8,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,1.015,0.98,K0IV-V,10.2,5196,,,
6 Lyn b,Confirmed,68.8,,899,2.2,0.134,2,0.038664,2008,8/27/2014,27,2453309,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,6 Lyn,97.6958333,58.1627778,5.86,4.8,4.27,3.03,3.7,56.9,-0.13,1.7,5.2,K0IV,,4978,,,
61 Vir b,Confirmed,,,4.215,0.050201,0.12,,0.005892,2009,12/14/2009,105,2453369.166,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531,Imaging,,HD 115617
61 Vir c,Confirmed,,,38.021,0.2175,0.14,,0.025528,2009,12/14/2009,341,2453369.166,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531,Imaging,,HD 115617
61 Vir d,Confirmed,,,123.01,0.476,0.35,,0.055869,2009,12/14/2009,314,2453369.166,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531,Imaging,,HD 115617
7 CMA c,Confirmed,,,988.9,2.143,0.046,,,2019,10/15/2019,226.6,,,,,,,15.2,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,,,7 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.21,1.52,2.3,K1 III,,4792,,,
7 CMa b,Confirmed,,,736.9,1.761,0.055,,0.096203,2011,10/15/2019,116.4,2454093,,,,,,35.1,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,HD 47205 b,,7 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.21,1.52,2.3,K1 III,,4792,,,
70 Vir b,Confirmed,,,116.67,0.48,0.43,,0.021818,1996,12/28/2010,2.1,2448990.403,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,70 Vir,202.1083333,13.7866667,5,,,,,22,-0.11,0.92,1.968,G4 V,7.09,5432,IR Excess,,HR 117176
75 Cet b,Confirmed,,,691.9,2.1,,,,2012,9/3/2012,,2452213,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,75 Cet,38.0375,-1.035,5.36,,,,,81.5,0,2.49,10.5,G3III,,4846,,,
